buyerName,lenderName,saleValue,isCorporate,loanAmount
YR RESIDENTS LLC,FIRSTLOANS INC,145000,True,150500
935 QUINTON LLC,COMMERCIAL LENDER LLC,165000,True,179250
CRANBURY MANOR LLC,CAKE MORTGAGE CORP,325000,True,227500
SALAAR INVESTMENTS LLC,RFLF 7 LLC,380000,True,285000
JAS INVESTMENT GROUP LLC,LOAN FUNDER LLC,200000,True,220400
HICKORY HILL PROPERTIES LLC,COMPUTER SOLUTIONS,295000,True,430000
